Namespace(batch_size=32, data_shape=512, dataset='coco', epochs=240, gpus='0,1,2,3', log_interval=100, lr=0.001, lr_decay=0.1, lr_decay_epoch='160,200', momentum=0.9, network='mobilenet1.0', num_workers=32, resume='', save_interval=10, save_prefix='ssd_512_mobilenet1.0_coco', seed=233, start_epoch=0, val_interval=10, wd=0.0005)
Start training from [Epoch 0]
[Epoch 2][Batch 2799], Speed: 141.238 samples/sec, CrossEntropy=4.443, SmoothL1=4.317
[Epoch 2][Batch 2899], Speed: 190.231 samples/sec, CrossEntropy=4.440, SmoothL1=4.310
[Epoch 2][Batch 2999], Speed: 179.292 samples/sec, CrossEntropy=4.437, SmoothL1=4.311
[Epoch 2][Batch 3099], Speed: 180.346 samples/sec, CrossEntropy=4.434, SmoothL1=4.323
[Epoch 2][Batch 3199], Speed: 162.724 samples/sec, CrossEntropy=4.431, SmoothL1=4.327
[Epoch 2][Batch 3299], Speed: 189.701 samples/sec, CrossEntropy=4.427, SmoothL1=4.321
[Epoch 2][Batch 3399], Speed: 185.150 samples/sec, CrossEntropy=4.423, SmoothL1=4.312
[Epoch 2][Batch 3499], Speed: 200.476 samples/sec, CrossEntropy=4.420, SmoothL1=4.309
[Epoch 2][Batch 3599], Speed: 137.621 samples/sec, CrossEntropy=4.417, SmoothL1=4.304
[Epoch 2] Training cost: 761.433, CrossEntropy=4.416, SmoothL1=4.308
[Epoch 3][Batch 99], Speed: 110.855 samples/sec, CrossEntropy=4.303, SmoothL1=4.199
[Epoch 3][Batch 199], Speed: 209.922 samples/sec, CrossEntropy=4.300, SmoothL1=4.167
[Epoch 3][Batch 299], Speed: 161.281 samples/sec, CrossEntropy=4.298, SmoothL1=4.197
[Epoch 3][Batch 399], Speed: 179.847 samples/sec, CrossEntropy=4.289, SmoothL1=4.164
[Epoch 3][Batch 499], Speed: 158.677 samples/sec, CrossEntropy=4.295, SmoothL1=4.155
[Epoch 3][Batch 599], Speed: 163.245 samples/sec, CrossEntropy=4.293, SmoothL1=4.154
[Epoch 3][Batch 699], Speed: 128.801 samples/sec, CrossEntropy=4.294, SmoothL1=4.167
[Epoch 3][Batch 799], Speed: 113.300 samples/sec, CrossEntropy=4.294, SmoothL1=4.174
[Epoch 3][Batch 899], Speed: 173.376 samples/sec, CrossEntropy=4.291, SmoothL1=4.181
[Epoch 3][Batch 999], Speed: 180.925 samples/sec, CrossEntropy=4.285, SmoothL1=4.188
[Epoch 3][Batch 1099], Speed: 169.568 samples/sec, CrossEntropy=4.284, SmoothL1=4.172
[Epoch 3][Batch 1199], Speed: 189.037 samples/sec, CrossEntropy=4.285, SmoothL1=4.163
[Epoch 3][Batch 1299], Speed: 173.221 samples/sec, CrossEntropy=4.283, SmoothL1=4.171
[Epoch 3][Batch 1399], Speed: 201.117 samples/sec, CrossEntropy=4.274, SmoothL1=4.178
[Epoch 3][Batch 1499], Speed: 113.524 samples/sec, CrossEntropy=4.275, SmoothL1=4.175
[Epoch 3][Batch 1599], Speed: 167.625 samples/sec, CrossEntropy=4.271, SmoothL1=4.184
[Epoch 3][Batch 1699], Speed: 97.467 samples/sec, CrossEntropy=4.269, SmoothL1=4.182
[Epoch 3][Batch 1799], Speed: 125.854 samples/sec, CrossEntropy=4.267, SmoothL1=4.189
[Epoch 3][Batch 1899], Speed: 171.795 samples/sec, CrossEntropy=4.266, SmoothL1=4.186
[Epoch 3][Batch 1999], Speed: 191.486 samples/sec, CrossEntropy=4.263, SmoothL1=4.187
[Epoch 3][Batch 2099], Speed: 183.722 samples/sec, CrossEntropy=4.261, SmoothL1=4.192
[Epoch 3][Batch 2199], Speed: 194.101 samples/sec, CrossEntropy=4.258, SmoothL1=4.190
[Epoch 3][Batch 2299], Speed: 168.633 samples/sec, CrossEntropy=4.257, SmoothL1=4.179
[Epoch 3][Batch 2399], Speed: 193.352 samples/sec, CrossEntropy=4.256, SmoothL1=4.182
[Epoch 3][Batch 2499], Speed: 170.517 samples/sec, CrossEntropy=4.253, SmoothL1=4.193
[Epoch 3][Batch 2599], Speed: 224.592 samples/sec, CrossEntropy=4.250, SmoothL1=4.188
[Epoch 3][Batch 2699], Speed: 199.908 samples/sec, CrossEntropy=4.248, SmoothL1=4.190
[Epoch 3][Batch 2799], Speed: 196.185 samples/sec, CrossEntropy=4.245, SmoothL1=4.190
[Epoch 3][Batch 2899], Speed: 142.190 samples/sec, CrossEntropy=4.244, SmoothL1=4.191
[Epoch 3][Batch 2999], Speed: 135.521 samples/sec, CrossEntropy=4.242, SmoothL1=4.198
[Epoch 3][Batch 3099], Speed: 146.906 samples/sec, CrossEntropy=4.240, SmoothL1=4.193
[Epoch 3][Batch 3199], Speed: 201.488 samples/sec, CrossEntropy=4.238, SmoothL1=4.191
[Epoch 3][Batch 3299], Speed: 153.302 samples/sec, CrossEntropy=4.235, SmoothL1=4.189
[Epoch 3][Batch 3399], Speed: 77.800 samples/sec, CrossEntropy=4.234, SmoothL1=4.193
[Epoch 3][Batch 3499], Speed: 156.231 samples/sec, CrossEntropy=4.230, SmoothL1=4.193
[Epoch 3][Batch 3599], Speed: 192.664 samples/sec, CrossEntropy=4.228, SmoothL1=4.197
[Epoch 3] Training cost: 755.053, CrossEntropy=4.226, SmoothL1=4.199
[Epoch 4][Batch 99], Speed: 149.795 samples/sec, CrossEntropy=4.154, SmoothL1=4.156
