Namespace(batch_size=32, data_shape=300, dataset='coco', epochs=240, gpus='0,1,2,3', log_interval=100, lr=0.001, lr_decay=0.1, lr_decay_epoch='160,200', momentum=0.9, network='vgg16_atrous', num_workers=32, resume='', save_interval=10, save_prefix='ssd_300_vgg16_atrous_coco', seed=233, start_epoch=0, val_interval=10, wd=0.0005)
Start training from [Epoch 0]
[Epoch 5][Batch 99], Speed: 100.924 samples/sec, CrossEntropy=3.964, SmoothL1=2.380
[Epoch 5][Batch 199], Speed: 106.665 samples/sec, CrossEntropy=3.950, SmoothL1=2.393
[Epoch 5][Batch 299], Speed: 168.840 samples/sec, CrossEntropy=3.938, SmoothL1=2.384
[Epoch 5][Batch 399], Speed: 163.700 samples/sec, CrossEntropy=3.932, SmoothL1=2.395
[Epoch 5][Batch 499], Speed: 148.508 samples/sec, CrossEntropy=3.947, SmoothL1=2.388
[Epoch 5][Batch 599], Speed: 144.215 samples/sec, CrossEntropy=3.941, SmoothL1=2.380
[Epoch 5][Batch 699], Speed: 168.555 samples/sec, CrossEntropy=3.944, SmoothL1=2.374
[Epoch 5][Batch 799], Speed: 181.185 samples/sec, CrossEntropy=3.948, SmoothL1=2.371
[Epoch 5][Batch 899], Speed: 164.205 samples/sec, CrossEntropy=3.948, SmoothL1=2.370
[Epoch 5][Batch 999], Speed: 180.288 samples/sec, CrossEntropy=3.949, SmoothL1=2.367
[Epoch 5][Batch 1099], Speed: 147.988 samples/sec, CrossEntropy=3.948, SmoothL1=2.367
[Epoch 5][Batch 1199], Speed: 147.369 samples/sec, CrossEntropy=3.949, SmoothL1=2.361
[Epoch 5][Batch 1299], Speed: 184.890 samples/sec, CrossEntropy=3.948, SmoothL1=2.363
[Epoch 5][Batch 1399], Speed: 189.274 samples/sec, CrossEntropy=3.948, SmoothL1=2.369
[Epoch 5][Batch 1499], Speed: 138.260 samples/sec, CrossEntropy=3.948, SmoothL1=2.364
[Epoch 5][Batch 1599], Speed: 120.804 samples/sec, CrossEntropy=3.946, SmoothL1=2.365
[Epoch 5][Batch 1699], Speed: 189.945 samples/sec, CrossEntropy=3.944, SmoothL1=2.361
[Epoch 5][Batch 1799], Speed: 133.564 samples/sec, CrossEntropy=3.941, SmoothL1=2.361
[Epoch 5][Batch 1899], Speed: 121.591 samples/sec, CrossEntropy=3.940, SmoothL1=2.360
[Epoch 5][Batch 1999], Speed: 197.423 samples/sec, CrossEntropy=3.938, SmoothL1=2.360
[Epoch 5][Batch 2099], Speed: 189.105 samples/sec, CrossEntropy=3.937, SmoothL1=2.360
[Epoch 5][Batch 2199], Speed: 143.977 samples/sec, CrossEntropy=3.937, SmoothL1=2.363
[Epoch 5][Batch 2299], Speed: 196.331 samples/sec, CrossEntropy=3.936, SmoothL1=2.362
[Epoch 5][Batch 2399], Speed: 195.077 samples/sec, CrossEntropy=3.935, SmoothL1=2.360
[Epoch 5][Batch 2499], Speed: 165.183 samples/sec, CrossEntropy=3.933, SmoothL1=2.359
[Epoch 5][Batch 2599], Speed: 135.390 samples/sec, CrossEntropy=3.933, SmoothL1=2.360
[Epoch 5][Batch 2699], Speed: 183.418 samples/sec, CrossEntropy=3.932, SmoothL1=2.360
[Epoch 5][Batch 2799], Speed: 170.502 samples/sec, CrossEntropy=3.930, SmoothL1=2.359
[Epoch 5][Batch 2899], Speed: 141.516 samples/sec, CrossEntropy=3.930, SmoothL1=2.360
[Epoch 5][Batch 2999], Speed: 195.613 samples/sec, CrossEntropy=3.928, SmoothL1=2.358
[Epoch 5][Batch 3099], Speed: 129.567 samples/sec, CrossEntropy=3.927, SmoothL1=2.358
[Epoch 5][Batch 3199], Speed: 122.550 samples/sec, CrossEntropy=3.926, SmoothL1=2.359
[Epoch 5][Batch 3299], Speed: 173.802 samples/sec, CrossEntropy=3.925, SmoothL1=2.360
[Epoch 5][Batch 3399], Speed: 157.849 samples/sec, CrossEntropy=3.925, SmoothL1=2.361
[Epoch 5][Batch 3499], Speed: 218.911 samples/sec, CrossEntropy=3.924, SmoothL1=2.361
[Epoch 5][Batch 3599], Speed: 219.419 samples/sec, CrossEntropy=3.922, SmoothL1=2.360
[Epoch 5] Training cost: 776.780, CrossEntropy=3.921, SmoothL1=2.358
[Epoch 6][Batch 99], Speed: 74.227 samples/sec, CrossEntropy=3.819, SmoothL1=2.325
[Epoch 6][Batch 199], Speed: 106.605 samples/sec, CrossEntropy=3.840, SmoothL1=2.343
[Epoch 6][Batch 299], Speed: 197.929 samples/sec, CrossEntropy=3.854, SmoothL1=2.370
[Epoch 6][Batch 399], Speed: 138.936 samples/sec, CrossEntropy=3.856, SmoothL1=2.362
[Epoch 6][Batch 499], Speed: 142.751 samples/sec, CrossEntropy=3.853, SmoothL1=2.349
[Epoch 6][Batch 599], Speed: 130.252 samples/sec, CrossEntropy=3.853, SmoothL1=2.335
[Epoch 6][Batch 699], Speed: 169.136 samples/sec, CrossEntropy=3.849, SmoothL1=2.333
[Epoch 6][Batch 799], Speed: 183.644 samples/sec, CrossEntropy=3.851, SmoothL1=2.321
[Epoch 6][Batch 899], Speed: 139.433 samples/sec, CrossEntropy=3.852, SmoothL1=2.318
[Epoch 6][Batch 999], Speed: 204.017 samples/sec, CrossEntropy=3.850, SmoothL1=2.316
[Epoch 6][Batch 1099], Speed: 136.456 samples/sec, CrossEntropy=3.851, SmoothL1=2.320
[Epoch 6][Batch 1199], Speed: 142.262 samples/sec, CrossEntropy=3.853, SmoothL1=2.328
[Epoch 6][Batch 1299], Speed: 112.082 samples/sec, CrossEntropy=3.852, SmoothL1=2.324
[Epoch 6][Batch 1399], Speed: 171.035 samples/sec, CrossEntropy=3.851, SmoothL1=2.322
[Epoch 6][Batch 1499], Speed: 162.289 samples/sec, CrossEntropy=3.849, SmoothL1=2.323
[Epoch 6][Batch 1599], Speed: 135.191 samples/sec, CrossEntropy=3.847, SmoothL1=2.322
[Epoch 6][Batch 1699], Speed: 155.493 samples/sec, CrossEntropy=3.841, SmoothL1=2.317
[Epoch 6][Batch 1799], Speed: 160.911 samples/sec, CrossEntropy=3.839, SmoothL1=2.317
[Epoch 6][Batch 1899], Speed: 142.420 samples/sec, CrossEntropy=3.839, SmoothL1=2.316
[Epoch 6][Batch 1999], Speed: 192.146 samples/sec, CrossEntropy=3.837, SmoothL1=2.316
[Epoch 6][Batch 2099], Speed: 142.616 samples/sec, CrossEntropy=3.835, SmoothL1=2.317
[Epoch 6][Batch 2199], Speed: 148.446 samples/sec, CrossEntropy=3.834, SmoothL1=2.314
[Epoch 6][Batch 2299], Speed: 194.774 samples/sec, CrossEntropy=3.834, SmoothL1=2.314
[Epoch 6][Batch 2399], Speed: 151.592 samples/sec, CrossEntropy=3.833, SmoothL1=2.316
[Epoch 6][Batch 2499], Speed: 146.685 samples/sec, CrossEntropy=3.832, SmoothL1=2.316
[Epoch 6][Batch 2599], Speed: 120.716 samples/sec, CrossEntropy=3.831, SmoothL1=2.315
[Epoch 6][Batch 2699], Speed: 177.429 samples/sec, CrossEntropy=3.831, SmoothL1=2.315
[Epoch 6][Batch 2799], Speed: 153.825 samples/sec, CrossEntropy=3.830, SmoothL1=2.316
[Epoch 6][Batch 2899], Speed: 188.786 samples/sec, CrossEntropy=3.828, SmoothL1=2.315
[Epoch 6][Batch 2999], Speed: 165.725 samples/sec, CrossEntropy=3.826, SmoothL1=2.315
