Namespace(batch_size=8, dataset='coco', epochs=26, gpus='0,1,2,3,4,5,6,7', log_interval=100, lr=0.01, lr_decay=0.1, lr_decay_epoch='17,23', lr_warmup=1000.0, mixup=False, momentum=0.9, network='resnet101_v1d', no_mixup_epochs=20, num_workers=4, resume='', save_interval=1, save_prefix='faster_rcnn_resnet101_v1d_coco', seed=233, start_epoch=0, val_interval=26, verbose=False, wd=0.0001)
Start training from [Epoch 0]
[Epoch 0 Iteration 0] Set learning rate to 0.003333333333333333
[Epoch 0][Batch 5199], Speed: 12.252 samples/sec, RPN_Conf=0.148,RPN_SmoothL1=0.118,RCNN_CrossEntropy=0.606,RCNN_SmoothL1=0.334,RPNAcc=0.942,RPNL1Loss=0.464,RCNNAcc=0.835,RCNNL1Loss=1.515
[Epoch 0][Batch 5299], Speed: 12.048 samples/sec, RPN_Conf=0.147,RPN_SmoothL1=0.117,RCNN_CrossEntropy=0.603,RCNN_SmoothL1=0.333,RPNAcc=0.942,RPNL1Loss=0.463,RCNNAcc=0.835,RCNNL1Loss=1.510
[Epoch 0][Batch 5399], Speed: 12.262 samples/sec, RPN_Conf=0.147,RPN_SmoothL1=0.117,RCNN_CrossEntropy=0.601,RCNN_SmoothL1=0.332,RPNAcc=0.942,RPNL1Loss=0.462,RCNNAcc=0.835,RCNNL1Loss=1.504
[Epoch 0][Batch 5499], Speed: 12.279 samples/sec, RPN_Conf=0.146,RPN_SmoothL1=0.117,RCNN_CrossEntropy=0.599,RCNN_SmoothL1=0.330,RPNAcc=0.942,RPNL1Loss=0.461,RCNNAcc=0.836,RCNNL1Loss=1.498
[Epoch 0][Batch 5599], Speed: 12.270 samples/sec, RPN_Conf=0.145,RPN_SmoothL1=0.117,RCNN_CrossEntropy=0.597,RCNN_SmoothL1=0.329,RPNAcc=0.943,RPNL1Loss=0.460,RCNNAcc=0.836,RCNNL1Loss=1.493
[Epoch 0][Batch 5699], Speed: 12.164 samples/sec, RPN_Conf=0.145,RPN_SmoothL1=0.117,RCNN_CrossEntropy=0.595,RCNN_SmoothL1=0.328,RPNAcc=0.943,RPNL1Loss=0.459,RCNNAcc=0.836,RCNNL1Loss=1.487
[Epoch 0][Batch 5799], Speed: 12.162 samples/sec, RPN_Conf=0.144,RPN_SmoothL1=0.116,RCNN_CrossEntropy=0.594,RCNN_SmoothL1=0.327,RPNAcc=0.943,RPNL1Loss=0.458,RCNNAcc=0.837,RCNNL1Loss=1.482
[Epoch 0][Batch 5899], Speed: 12.143 samples/sec, RPN_Conf=0.144,RPN_SmoothL1=0.116,RCNN_CrossEntropy=0.592,RCNN_SmoothL1=0.326,RPNAcc=0.943,RPNL1Loss=0.458,RCNNAcc=0.837,RCNNL1Loss=1.477
[Epoch 0][Batch 5999], Speed: 11.993 samples/sec, RPN_Conf=0.143,RPN_SmoothL1=0.116,RCNN_CrossEntropy=0.590,RCNN_SmoothL1=0.325,RPNAcc=0.943,RPNL1Loss=0.457,RCNNAcc=0.837,RCNNL1Loss=1.471
[Epoch 0][Batch 6099], Speed: 11.972 samples/sec, RPN_Conf=0.143,RPN_SmoothL1=0.116,RCNN_CrossEntropy=0.588,RCNN_SmoothL1=0.324,RPNAcc=0.944,RPNL1Loss=0.456,RCNNAcc=0.838,RCNNL1Loss=1.466
[Epoch 0][Batch 6199], Speed: 11.787 samples/sec, RPN_Conf=0.142,RPN_SmoothL1=0.116,RCNN_CrossEntropy=0.587,RCNN_SmoothL1=0.323,RPNAcc=0.944,RPNL1Loss=0.455,RCNNAcc=0.838,RCNNL1Loss=1.461
[Epoch 0][Batch 6299], Speed: 11.900 samples/sec, RPN_Conf=0.142,RPN_SmoothL1=0.116,RCNN_CrossEntropy=0.585,RCNN_SmoothL1=0.322,RPNAcc=0.944,RPNL1Loss=0.455,RCNNAcc=0.838,RCNNL1Loss=1.457
[Epoch 0][Batch 6399], Speed: 12.062 samples/sec, RPN_Conf=0.142,RPN_SmoothL1=0.115,RCNN_CrossEntropy=0.583,RCNN_SmoothL1=0.322,RPNAcc=0.944,RPNL1Loss=0.454,RCNNAcc=0.838,RCNNL1Loss=1.453
