Namespace(batch_size=8, dataset='coco', epochs=26, gpus='0,1,2,3,4,5,6,7', log_interval=100, lr=0.01, lr_decay=0.1, lr_decay_epoch='17,23', lr_warmup=1000.0, mixup=False, momentum=0.9, network='resnet50_v1b', no_mixup_epochs=20, num_workers=4, resume='', save_interval=1, save_prefix='faster_rcnn_resnet50_v1b_coco', seed=233, start_epoch=0, val_interval=26, verbose=False, wd=0.0001)
Start training from [Epoch 0]
[Epoch 0 Iteration 0] Set learning rate to 0.003333333333333333
[Epoch 0][Batch 5599], Speed: 15.029 samples/sec, RPN_Conf=0.167,RPN_SmoothL1=0.120,RCNN_CrossEntropy=0.616,RCNN_SmoothL1=0.329,RPNAcc=0.932,RPNL1Loss=0.472,RCNNAcc=0.835,RCNNL1Loss=1.539
[Epoch 0][Batch 5699], Speed: 14.897 samples/sec, RPN_Conf=0.166,RPN_SmoothL1=0.120,RCNN_CrossEntropy=0.614,RCNN_SmoothL1=0.328,RPNAcc=0.932,RPNL1Loss=0.471,RCNNAcc=0.835,RCNNL1Loss=1.533
[Epoch 0][Batch 5799], Speed: 15.105 samples/sec, RPN_Conf=0.166,RPN_SmoothL1=0.120,RCNN_CrossEntropy=0.612,RCNN_SmoothL1=0.327,RPNAcc=0.932,RPNL1Loss=0.471,RCNNAcc=0.835,RCNNL1Loss=1.528
[Epoch 0][Batch 5899], Speed: 14.991 samples/sec, RPN_Conf=0.166,RPN_SmoothL1=0.120,RCNN_CrossEntropy=0.610,RCNN_SmoothL1=0.326,RPNAcc=0.932,RPNL1Loss=0.470,RCNNAcc=0.835,RCNNL1Loss=1.523
[Epoch 0][Batch 5999], Speed: 14.952 samples/sec, RPN_Conf=0.165,RPN_SmoothL1=0.119,RCNN_CrossEntropy=0.609,RCNN_SmoothL1=0.325,RPNAcc=0.932,RPNL1Loss=0.469,RCNNAcc=0.836,RCNNL1Loss=1.519
[Epoch 0][Batch 6099], Speed: 15.027 samples/sec, RPN_Conf=0.165,RPN_SmoothL1=0.119,RCNN_CrossEntropy=0.607,RCNN_SmoothL1=0.324,RPNAcc=0.932,RPNL1Loss=0.469,RCNNAcc=0.836,RCNNL1Loss=1.514
[Epoch 0][Batch 6199], Speed: 15.036 samples/sec, RPN_Conf=0.164,RPN_SmoothL1=0.119,RCNN_CrossEntropy=0.605,RCNN_SmoothL1=0.324,RPNAcc=0.933,RPNL1Loss=0.468,RCNNAcc=0.836,RCNNL1Loss=1.510
[Epoch 0][Batch 6299], Speed: 15.020 samples/sec, RPN_Conf=0.164,RPN_SmoothL1=0.119,RCNN_CrossEntropy=0.603,RCNN_SmoothL1=0.323,RPNAcc=0.933,RPNL1Loss=0.468,RCNNAcc=0.836,RCNNL1Loss=1.506
[Epoch 0][Batch 6399], Speed: 15.203 samples/sec, RPN_Conf=0.164,RPN_SmoothL1=0.119,RCNN_CrossEntropy=0.602,RCNN_SmoothL1=0.322,RPNAcc=0.933,RPNL1Loss=0.467,RCNNAcc=0.837,RCNNL1Loss=1.501
[Epoch 0][Batch 6499], Speed: 14.832 samples/sec, RPN_Conf=0.163,RPN_SmoothL1=0.119,RCNN_CrossEntropy=0.600,RCNN_SmoothL1=0.321,RPNAcc=0.933,RPNL1Loss=0.467,RCNNAcc=0.837,RCNNL1Loss=1.497
[Epoch 0][Batch 6599], Speed: 15.017 samples/sec, RPN_Conf=0.163,RPN_SmoothL1=0.119,RCNN_CrossEntropy=0.599,RCNN_SmoothL1=0.321,RPNAcc=0.933,RPNL1Loss=0.466,RCNNAcc=0.837,RCNNL1Loss=1.493
[Epoch 0][Batch 6699], Speed: 14.923 samples/sec, RPN_Conf=0.163,RPN_SmoothL1=0.118,RCNN_CrossEntropy=0.597,RCNN_SmoothL1=0.320,RPNAcc=0.933,RPNL1Loss=0.466,RCNNAcc=0.837,RCNNL1Loss=1.489
[Epoch 0][Batch 6799], Speed: 14.958 samples/sec, RPN_Conf=0.162,RPN_SmoothL1=0.118,RCNN_CrossEntropy=0.596,RCNN_SmoothL1=0.319,RPNAcc=0.934,RPNL1Loss=0.465,RCNNAcc=0.837,RCNNL1Loss=1.485
[Epoch 0][Batch 6899], Speed: 14.740 samples/sec, RPN_Conf=0.162,RPN_SmoothL1=0.118,RCNN_CrossEntropy=0.595,RCNN_SmoothL1=0.318,RPNAcc=0.934,RPNL1Loss=0.464,RCNNAcc=0.838,RCNNL1Loss=1.481
[Epoch 0][Batch 6999], Speed: 14.791 samples/sec, RPN_Conf=0.162,RPN_SmoothL1=0.118,RCNN_CrossEntropy=0.593,RCNN_SmoothL1=0.318,RPNAcc=0.934,RPNL1Loss=0.464,RCNNAcc=0.838,RCNNL1Loss=1.476
[Epoch 0][Batch 7099], Speed: 15.017 samples/sec, RPN_Conf=0.161,RPN_SmoothL1=0.118,RCNN_CrossEntropy=0.592,RCNN_SmoothL1=0.317,RPNAcc=0.934,RPNL1Loss=0.463,RCNNAcc=0.838,RCNNL1Loss=1.473
[Epoch 0][Batch 7199], Speed: 14.971 samples/sec, RPN_Conf=0.161,RPN_SmoothL1=0.118,RCNN_CrossEntropy=0.590,RCNN_SmoothL1=0.316,RPNAcc=0.934,RPNL1Loss=0.463,RCNNAcc=0.838,RCNNL1Loss=1.469
[Epoch 0][Batch 7299], Speed: 14.940 samples/sec, RPN_Conf=0.161,RPN_SmoothL1=0.117,RCNN_CrossEntropy=0.589,RCNN_SmoothL1=0.316,RPNAcc=0.934,RPNL1Loss=0.462,RCNNAcc=0.839,RCNNL1Loss=1.466
[Epoch 0][Batch 7399], Speed: 14.929 samples/sec, RPN_Conf=0.160,RPN_SmoothL1=0.117,RCNN_CrossEntropy=0.588,RCNN_SmoothL1=0.315,RPNAcc=0.934,RPNL1Loss=0.462,RCNNAcc=0.839,RCNNL1Loss=1.462
[Epoch 0][Batch 7499], Speed: 15.000 samples/sec, RPN_Conf=0.160,RPN_SmoothL1=0.117,RCNN_CrossEntropy=0.586,RCNN_SmoothL1=0.314,RPNAcc=0.935,RPNL1Loss=0.461,RCNNAcc=0.839,RCNNL1Loss=1.458
[Epoch 0][Batch 7599], Speed: 14.926 samples/sec, RPN_Conf=0.160,RPN_SmoothL1=0.117,RCNN_CrossEntropy=0.585,RCNN_SmoothL1=0.313,RPNAcc=0.935,RPNL1Loss=0.461,RCNNAcc=0.839,RCNNL1Loss=1.455
[Epoch 0][Batch 7699], Speed: 15.342 samples/sec, RPN_Conf=0.159,RPN_SmoothL1=0.117,RCNN_CrossEntropy=0.584,RCNN_SmoothL1=0.313,RPNAcc=0.935,RPNL1Loss=0.460,RCNNAcc=0.839,RCNNL1Loss=1.451
[Epoch 0][Batch 7799], Speed: 15.324 samples/sec, RPN_Conf=0.159,RPN_SmoothL1=0.117,RCNN_CrossEntropy=0.582,RCNN_SmoothL1=0.312,RPNAcc=0.935,RPNL1Loss=0.460,RCNNAcc=0.840,RCNNL1Loss=1.448
[Epoch 0][Batch 7899], Speed: 15.348 samples/sec, RPN_Conf=0.159,RPN_SmoothL1=0.117,RCNN_CrossEntropy=0.581,RCNN_SmoothL1=0.312,RPNAcc=0.935,RPNL1Loss=0.459,RCNNAcc=0.840,RCNNL1Loss=1.444
[Epoch 0][Batch 7999], Speed: 15.450 samples/sec, RPN_Conf=0.159,RPN_SmoothL1=0.117,RCNN_CrossEntropy=0.580,RCNN_SmoothL1=0.311,RPNAcc=0.935,RPNL1Loss=0.459,RCNNAcc=0.840,RCNNL1Loss=1.441
[Epoch 0][Batch 8099], Speed: 15.776 samples/sec, RPN_Conf=0.158,RPN_SmoothL1=0.117,RCNN_CrossEntropy=0.579,RCNN_SmoothL1=0.310,RPNAcc=0.935,RPNL1Loss=0.458,RCNNAcc=0.840,RCNNL1Loss=1.437
[Epoch 0][Batch 8199], Speed: 15.581 samples/sec, RPN_Conf=0.158,RPN_SmoothL1=0.117,RCNN_CrossEntropy=0.578,RCNN_SmoothL1=0.310,RPNAcc=0.935,RPNL1Loss=0.458,RCNNAcc=0.840,RCNNL1Loss=1.434
[Epoch 0][Batch 8299], Speed: 15.501 samples/sec, RPN_Conf=0.158,RPN_SmoothL1=0.116,RCNN_CrossEntropy=0.576,RCNN_SmoothL1=0.309,RPNAcc=0.936,RPNL1Loss=0.458,RCNNAcc=0.841,RCNNL1Loss=1.431
[Epoch 0][Batch 8399], Speed: 15.338 samples/sec, RPN_Conf=0.158,RPN_SmoothL1=0.116,RCNN_CrossEntropy=0.575,RCNN_SmoothL1=0.308,RPNAcc=0.936,RPNL1Loss=0.457,RCNNAcc=0.841,RCNNL1Loss=1.427
[Epoch 0][Batch 8499], Speed: 15.557 samples/sec, RPN_Conf=0.157,RPN_SmoothL1=0.116,RCNN_CrossEntropy=0.574,RCNN_SmoothL1=0.308,RPNAcc=0.936,RPNL1Loss=0.457,RCNNAcc=0.841,RCNNL1Loss=1.425
[Epoch 0][Batch 8599], Speed: 15.929 samples/sec, RPN_Conf=0.157,RPN_SmoothL1=0.116,RCNN_CrossEntropy=0.573,RCNN_SmoothL1=0.307,RPNAcc=0.936,RPNL1Loss=0.456,RCNNAcc=0.841,RCNNL1Loss=1.422
[Epoch 0][Batch 8699], Speed: 15.594 samples/sec, RPN_Conf=0.157,RPN_SmoothL1=0.116,RCNN_CrossEntropy=0.572,RCNN_SmoothL1=0.307,RPNAcc=0.936,RPNL1Loss=0.456,RCNNAcc=0.841,RCNNL1Loss=1.419
[Epoch 0][Batch 8799], Speed: 15.424 samples/sec, RPN_Conf=0.157,RPN_SmoothL1=0.116,RCNN_CrossEntropy=0.571,RCNN_SmoothL1=0.306,RPNAcc=0.936,RPNL1Loss=0.456,RCNNAcc=0.841,RCNNL1Loss=1.416
