Namespace(batch_size=32, data_shape=512, dataset='coco', epochs=240, gpus='0,1,2,3', log_interval=100, lr=0.001, lr_decay=0.1, lr_decay_epoch='160,200', momentum=0.9, network='resnet50_v1', num_workers=32, resume='', save_interval=10, save_prefix='ssd_512_resnet50_v1_coco', seed=233, start_epoch=0, val_interval=10, wd=0.0005)
Start training from [Epoch 0]
[Epoch 5][Batch 1799], Speed: 127.839 samples/sec, CrossEntropy=3.537, SmoothL1=2.092
[Epoch 5][Batch 1899], Speed: 128.680 samples/sec, CrossEntropy=3.534, SmoothL1=2.089
[Epoch 5][Batch 1999], Speed: 84.931 samples/sec, CrossEntropy=3.532, SmoothL1=2.090
[Epoch 5][Batch 2099], Speed: 130.045 samples/sec, CrossEntropy=3.532, SmoothL1=2.088
[Epoch 5][Batch 2199], Speed: 127.272 samples/sec, CrossEntropy=3.531, SmoothL1=2.091
[Epoch 5][Batch 2299], Speed: 112.924 samples/sec, CrossEntropy=3.531, SmoothL1=2.093
[Epoch 5][Batch 2399], Speed: 115.139 samples/sec, CrossEntropy=3.531, SmoothL1=2.091
[Epoch 5][Batch 2499], Speed: 124.739 samples/sec, CrossEntropy=3.530, SmoothL1=2.089
[Epoch 5][Batch 2599], Speed: 115.044 samples/sec, CrossEntropy=3.530, SmoothL1=2.088
[Epoch 5][Batch 2699], Speed: 124.432 samples/sec, CrossEntropy=3.529, SmoothL1=2.089
[Epoch 5][Batch 2799], Speed: 119.795 samples/sec, CrossEntropy=3.528, SmoothL1=2.087
[Epoch 5][Batch 2899], Speed: 100.139 samples/sec, CrossEntropy=3.528, SmoothL1=2.087
[Epoch 5][Batch 2999], Speed: 137.329 samples/sec, CrossEntropy=3.528, SmoothL1=2.086
[Epoch 5][Batch 3099], Speed: 123.823 samples/sec, CrossEntropy=3.526, SmoothL1=2.086
[Epoch 5][Batch 3199], Speed: 125.868 samples/sec, CrossEntropy=3.525, SmoothL1=2.085
[Epoch 5][Batch 3299], Speed: 128.039 samples/sec, CrossEntropy=3.524, SmoothL1=2.085
[Epoch 5][Batch 3399], Speed: 123.896 samples/sec, CrossEntropy=3.524, SmoothL1=2.084
[Epoch 5][Batch 3499], Speed: 146.477 samples/sec, CrossEntropy=3.524, SmoothL1=2.084
[Epoch 5][Batch 3599], Speed: 140.702 samples/sec, CrossEntropy=3.523, SmoothL1=2.083
[Epoch 5] Training cost: 997.371, CrossEntropy=3.522, SmoothL1=2.081
[Epoch 6][Batch 99], Speed: 63.278 samples/sec, CrossEntropy=3.442, SmoothL1=2.098
[Epoch 6][Batch 199], Speed: 125.824 samples/sec, CrossEntropy=3.476, SmoothL1=2.104
[Epoch 6][Batch 299], Speed: 115.434 samples/sec, CrossEntropy=3.477, SmoothL1=2.120
[Epoch 6][Batch 399], Speed: 112.629 samples/sec, CrossEntropy=3.476, SmoothL1=2.105
[Epoch 6][Batch 499], Speed: 143.379 samples/sec, CrossEntropy=3.477, SmoothL1=2.096
[Epoch 6][Batch 599], Speed: 128.381 samples/sec, CrossEntropy=3.479, SmoothL1=2.083
[Epoch 6][Batch 699], Speed: 122.025 samples/sec, CrossEntropy=3.473, SmoothL1=2.073
[Epoch 6][Batch 799], Speed: 110.199 samples/sec, CrossEntropy=3.469, SmoothL1=2.063
[Epoch 6][Batch 899], Speed: 114.509 samples/sec, CrossEntropy=3.470, SmoothL1=2.057
[Epoch 6][Batch 999], Speed: 117.719 samples/sec, CrossEntropy=3.469, SmoothL1=2.055
[Epoch 6][Batch 1099], Speed: 112.402 samples/sec, CrossEntropy=3.472, SmoothL1=2.055
[Epoch 6][Batch 1199], Speed: 120.166 samples/sec, CrossEntropy=3.473, SmoothL1=2.059
[Epoch 6][Batch 1299], Speed: 130.350 samples/sec, CrossEntropy=3.472, SmoothL1=2.058
[Epoch 6][Batch 1399], Speed: 118.296 samples/sec, CrossEntropy=3.469, SmoothL1=2.055
[Epoch 6][Batch 1499], Speed: 131.465 samples/sec, CrossEntropy=3.468, SmoothL1=2.058
[Epoch 6][Batch 1599], Speed: 124.389 samples/sec, CrossEntropy=3.466, SmoothL1=2.056
[Epoch 6][Batch 1699], Speed: 85.803 samples/sec, CrossEntropy=3.463, SmoothL1=2.051
[Epoch 6][Batch 1799], Speed: 114.689 samples/sec, CrossEntropy=3.462, SmoothL1=2.052
[Epoch 6][Batch 1899], Speed: 129.749 samples/sec, CrossEntropy=3.460, SmoothL1=2.049
[Epoch 6][Batch 1999], Speed: 125.671 samples/sec, CrossEntropy=3.459, SmoothL1=2.050
[Epoch 6][Batch 2099], Speed: 79.473 samples/sec, CrossEntropy=3.457, SmoothL1=2.049
[Epoch 6][Batch 2199], Speed: 119.018 samples/sec, CrossEntropy=3.456, SmoothL1=2.046
[Epoch 6][Batch 2299], Speed: 111.207 samples/sec, CrossEntropy=3.456, SmoothL1=2.047
[Epoch 6][Batch 2399], Speed: 124.065 samples/sec, CrossEntropy=3.455, SmoothL1=2.047
[Epoch 6][Batch 2499], Speed: 107.617 samples/sec, CrossEntropy=3.454, SmoothL1=2.046
[Epoch 6][Batch 2599], Speed: 127.278 samples/sec, CrossEntropy=3.453, SmoothL1=2.046
[Epoch 6][Batch 2699], Speed: 117.491 samples/sec, CrossEntropy=3.453, SmoothL1=2.048
[Epoch 6][Batch 2799], Speed: 138.139 samples/sec, CrossEntropy=3.453, SmoothL1=2.048
[Epoch 6][Batch 2899], Speed: 125.459 samples/sec, CrossEntropy=3.452, SmoothL1=2.046
[Epoch 6][Batch 2999], Speed: 126.690 samples/sec, CrossEntropy=3.451, SmoothL1=2.045
