[Epoch 0][Batch 4099], Speed: 6.646 samples/sec, RPN_Conf=0.079,RPN_SmoothL1=0.055,RCNN_CrossEntropy=0.473,RCNN_SmoothL1=0.199,RCNN_Mask=0.427,RPNAcc=0.969,RPNL1Loss=0.459,RCNNAcc=0.897,RCNNL1Loss=1.649,MaskAcc=0.793,MaskFGAcc=0.612
[Epoch 0][Batch 4199], Speed: 6.678 samples/sec, RPN_Conf=0.079,RPN_SmoothL1=0.055,RCNN_CrossEntropy=0.471,RCNN_SmoothL1=0.199,RCNN_Mask=0.425,RPNAcc=0.969,RPNL1Loss=0.457,RCNNAcc=0.897,RCNNL1Loss=1.640,MaskAcc=0.794,MaskFGAcc=0.611
[Epoch 0][Batch 4299], Speed: 6.633 samples/sec, RPN_Conf=0.078,RPN_SmoothL1=0.055,RCNN_CrossEntropy=0.469,RCNN_SmoothL1=0.198,RCNN_Mask=0.423,RPNAcc=0.969,RPNL1Loss=0.456,RCNNAcc=0.897,RCNNL1Loss=1.632,MaskAcc=0.795,MaskFGAcc=0.610
[Epoch 0][Batch 4399], Speed: 6.618 samples/sec, RPN_Conf=0.078,RPN_SmoothL1=0.054,RCNN_CrossEntropy=0.466,RCNN_SmoothL1=0.197,RCNN_Mask=0.422,RPNAcc=0.970,RPNL1Loss=0.455,RCNNAcc=0.897,RCNNL1Loss=1.623,MaskAcc=0.796,MaskFGAcc=0.609
[Epoch 0][Batch 4499], Speed: 6.629 samples/sec, RPN_Conf=0.078,RPN_SmoothL1=0.054,RCNN_CrossEntropy=0.464,RCNN_SmoothL1=0.197,RCNN_Mask=0.420,RPNAcc=0.970,RPNL1Loss=0.454,RCNNAcc=0.897,RCNNL1Loss=1.614,MaskAcc=0.797,MaskFGAcc=0.608
[Epoch 0][Batch 4599], Speed: 6.662 samples/sec, RPN_Conf=0.077,RPN_SmoothL1=0.054,RCNN_CrossEntropy=0.462,RCNN_SmoothL1=0.196,RCNN_Mask=0.419,RPNAcc=0.970,RPNL1Loss=0.453,RCNNAcc=0.897,RCNNL1Loss=1.606,MaskAcc=0.798,MaskFGAcc=0.607
[Epoch 0][Batch 4699], Speed: 6.608 samples/sec, RPN_Conf=0.077,RPN_SmoothL1=0.054,RCNN_CrossEntropy=0.461,RCNN_SmoothL1=0.195,RCNN_Mask=0.417,RPNAcc=0.970,RPNL1Loss=0.451,RCNNAcc=0.897,RCNNL1Loss=1.598,MaskAcc=0.799,MaskFGAcc=0.606
[Epoch 0][Batch 4799], Speed: 6.666 samples/sec, RPN_Conf=0.077,RPN_SmoothL1=0.054,RCNN_CrossEntropy=0.459,RCNN_SmoothL1=0.195,RCNN_Mask=0.416,RPNAcc=0.970,RPNL1Loss=0.450,RCNNAcc=0.897,RCNNL1Loss=1.589,MaskAcc=0.800,MaskFGAcc=0.606
[Epoch 0][Batch 4899], Speed: 6.680 samples/sec, RPN_Conf=0.076,RPN_SmoothL1=0.054,RCNN_CrossEntropy=0.457,RCNN_SmoothL1=0.194,RCNN_Mask=0.414,RPNAcc=0.970,RPNL1Loss=0.449,RCNNAcc=0.897,RCNNL1Loss=1.581,MaskAcc=0.801,MaskFGAcc=0.605
[Epoch 0][Batch 4999], Speed: 6.665 samples/sec, RPN_Conf=0.076,RPN_SmoothL1=0.054,RCNN_CrossEntropy=0.455,RCNN_SmoothL1=0.194,RCNN_Mask=0.413,RPNAcc=0.971,RPNL1Loss=0.448,RCNNAcc=0.897,RCNNL1Loss=1.573,MaskAcc=0.802,MaskFGAcc=0.604
[Epoch 0][Batch 5099], Speed: 6.641 samples/sec, RPN_Conf=0.075,RPN_SmoothL1=0.053,RCNN_CrossEntropy=0.453,RCNN_SmoothL1=0.193,RCNN_Mask=0.411,RPNAcc=0.971,RPNL1Loss=0.446,RCNNAcc=0.897,RCNNL1Loss=1.566,MaskAcc=0.803,MaskFGAcc=0.604
[Epoch 0][Batch 5199], Speed: 6.643 samples/sec, RPN_Conf=0.075,RPN_SmoothL1=0.053,RCNN_CrossEntropy=0.451,RCNN_SmoothL1=0.192,RCNN_Mask=0.410,RPNAcc=0.971,RPNL1Loss=0.446,RCNNAcc=0.897,RCNNL1Loss=1.559,MaskAcc=0.803,MaskFGAcc=0.603
[Epoch 0][Batch 5299], Speed: 6.691 samples/sec, RPN_Conf=0.075,RPN_SmoothL1=0.053,RCNN_CrossEntropy=0.450,RCNN_SmoothL1=0.192,RCNN_Mask=0.408,RPNAcc=0.971,RPNL1Loss=0.445,RCNNAcc=0.897,RCNNL1Loss=1.552,MaskAcc=0.804,MaskFGAcc=0.602
[Epoch 0][Batch 5399], Speed: 6.643 samples/sec, RPN_Conf=0.074,RPN_SmoothL1=0.053,RCNN_CrossEntropy=0.448,RCNN_SmoothL1=0.191,RCNN_Mask=0.407,RPNAcc=0.971,RPNL1Loss=0.443,RCNNAcc=0.898,RCNNL1Loss=1.546,MaskAcc=0.805,MaskFGAcc=0.601
[Epoch 0][Batch 5499], Speed: 6.632 samples/sec, RPN_Conf=0.074,RPN_SmoothL1=0.053,RCNN_CrossEntropy=0.446,RCNN_SmoothL1=0.190,RCNN_Mask=0.406,RPNAcc=0.971,RPNL1Loss=0.443,RCNNAcc=0.898,RCNNL1Loss=1.539,MaskAcc=0.806,MaskFGAcc=0.601
[Epoch 0][Batch 5599], Speed: 6.607 samples/sec, RPN_Conf=0.074,RPN_SmoothL1=0.053,RCNN_CrossEntropy=0.444,RCNN_SmoothL1=0.190,RCNN_Mask=0.405,RPNAcc=0.971,RPNL1Loss=0.442,RCNNAcc=0.898,RCNNL1Loss=1.532,MaskAcc=0.806,MaskFGAcc=0.600
[Epoch 0][Batch 5699], Speed: 6.669 samples/sec, RPN_Conf=0.073,RPN_SmoothL1=0.053,RCNN_CrossEntropy=0.443,RCNN_SmoothL1=0.190,RCNN_Mask=0.403,RPNAcc=0.972,RPNL1Loss=0.441,RCNNAcc=0.898,RCNNL1Loss=1.526,MaskAcc=0.807,MaskFGAcc=0.599
[Epoch 0][Batch 5799], Speed: 6.657 samples/sec, RPN_Conf=0.073,RPN_SmoothL1=0.053,RCNN_CrossEntropy=0.441,RCNN_SmoothL1=0.189,RCNN_Mask=0.402,RPNAcc=0.972,RPNL1Loss=0.440,RCNNAcc=0.898,RCNNL1Loss=1.519,MaskAcc=0.808,MaskFGAcc=0.599
[Epoch 0][Batch 5899], Speed: 6.611 samples/sec, RPN_Conf=0.073,RPN_SmoothL1=0.052,RCNN_CrossEntropy=0.440,RCNN_SmoothL1=0.189,RCNN_Mask=0.401,RPNAcc=0.972,RPNL1Loss=0.439,RCNNAcc=0.898,RCNNL1Loss=1.514,MaskAcc=0.808,MaskFGAcc=0.598
[Epoch 0][Batch 5999], Speed: 6.648 samples/sec, RPN_Conf=0.073,RPN_SmoothL1=0.052,RCNN_CrossEntropy=0.439,RCNN_SmoothL1=0.188,RCNN_Mask=0.400,RPNAcc=0.972,RPNL1Loss=0.438,RCNNAcc=0.898,RCNNL1Loss=1.508,MaskAcc=0.809,MaskFGAcc=0.597
